일자|시간|구분,연월일,시간,구분,year,quarter,month,day,weekday,음력일시,lunar_year,lunar_month,lunar_day,기온,기압,습도
2019-01-01 21 A,2019-01-01,21,0,2019,1,1,1,1,2018-11-26,2018,11,26,-3.4000265055282193,1017.7000122070312,43.0
2019-01-01 22 A,2019-01-01,22,0,2019,1,1,1,1,2018-11-26,2018,11,26,-3.6043242551868038,1017.6446447753906,42.01
2019-01-01 23 A,2019-01-01,23,0,2019,1,1,1,1,2018-11-26,2018,11,26,-3.795357677999968,1017.4699798583985,43.923333333333325
2019-01-01 24 A,2019-01-01,24,0,2019,1,1,1,1,2018-11-26,2018,11,26,-4.120478309389813,1017.2556545003255,49.03
2019-01-02 01 A,2019-01-02,01,0,2019,1,1,2,2,2018-11-27,2018,11,27,-5.0052959306837,1016.4446600341797,51.400000000000006
2019-01-02 02 A,2019-01-02,02,0,2019,1,1,2,2,2018-11-27,2018,11,27,-5.416203788002534,1015.1129970296224,56.379999999999995
2019-01-02 03 A,2019-01-02,03,0,2019,1,1,2,2,2018-11-27,2018,11,27,-5.585459686740322,1013.9800061035157,56.93333333333334
2019-01-02 04 A,2019-01-02,04,0,2019,1,1,2,2,2018-11-27,2018,11,27,-5.8866387892065575,1014.0420045979818,63.673333333333325
2019-01-02 05 A,2019-01-02,05,0,2019,1,1,2,2,2018-11-27,2018,11,27,-5.988343309841955,1013.9973364257812,58.339999999999996
2019-01-02 06 A,2019-01-02,06,0,2019,1,1,2,2,2018-11-27,2018,11,27,-6.1402099766199045,1013.9093371582031,58.086666666666666
2019-01-02 07 A,2019-01-02,07,0,2019,1,1,2,2,2018-11-27,2018,11,27,-6.089149225108939,1014.0526704915364,58.17333333333334
2019-01-02 08 A,2019-01-02,08,0,2019,1,1,2,2,2018-11-27,2018,11,27,-6.0639306825196115,1014.2576717122396,58.080000000000005
2019-01-02 09 A,2019-01-02,09,0,2019,1,1,2,2,2018-11-27,2018,11,27,-5.513438116179316,1017.2370001220703,51.84666666666667
2019-01-02 10 A,2019-01-02,10,0,2019,1,1,2,2,2018-11-27,2018,11,27,-4.185194033936299,1016.8080072021485,34.556666666666665
2019-01-02 11 A,2019-01-02,11,0,2019,1,1,2,2,2018-11-27,2018,11,27,-2.6588246294254745,1019.6532150361032,39.85333333333333
2019-01-02 12 A,2019-01-02,12,0,2019,1,1,2,2,2018-11-27,2018,11,27,-1.342815562844805,1015.1486623128254,40.14666666666667
2019-01-02 13 A,2019-01-02,13,0,2019,1,1,2,2,2018-11-27,2018,11,27,-0.28825188103208704,1013.120673014323,45.51333333333333
2019-01-02 14 A,2019-01-02,14,0,2019,1,1,2,2,2018-11-27,2018,11,27,-0.04028115812427572,1012.9663431803386,47.27
2019-01-02 15 A,2019-01-02,15,0,2019,1,1,2,2,2018-11-27,2018,11,27,0.04149299718516619,1012.8226737467447,48.02666666666667
2019-01-02 16 A,2019-01-02,16,0,2019,1,1,2,2,2018-11-27,2018,11,27,-0.1211101981970707,1012.7550087483723,48.88333333333333
2019-01-02 17 A,2019-01-02,17,0,2019,1,1,2,2,2018-11-27,2018,11,27,-1.045790459504453,1013.171987101237,44.333333333333336
2019-01-02 18 A,2019-01-02,18,0,2019,1,1,2,2,2018-11-27,2018,11,27,-2.070170392556099,1016.2480004882813,36.85333333333333
2019-01-02 19 A,2019-01-02,19,0,2019,1,1,2,2,2018-11-27,2018,11,27,-2.5845379926676166,1017.6946561686199,48.23333333333333
2019-01-02 20 A,2019-01-02,20,0,2019,1,1,2,2,2018-11-27,2018,11,27,-3.178756741088607,1017.6776611328124,48.86333333333334
2019-01-02 21 A,2019-01-02,21,0,2019,1,1,2,2,2018-11-27,2018,11,27,-3.6109516616935973,1016.7919978841146,50.35333333333333
2019-01-02 22 A,2019-01-02,22,0,2019,1,1,2,2,2018-11-27,2018,11,27,-3.915857357949091,1017.6170029703776,54.17666666666667
2019-01-02 23 A,2019-01-02,23,0,2019,1,1,2,2,2018-11-27,2018,11,27,-4.445539551120949,1018.0826652018228,56.446666666666665
2019-01-02 24 A,2019-01-02,24,0,2019,1,1,2,2,2018-11-27,2018,11,27,-4.810496660468803,1017.4886878530584,44.86666666666667
2019-01-03 01 A,2019-01-03,01,0,2019,1,1,3,3,2018-11-28,2018,11,28,-6.451017171981377,1018.1509383138022,50.63666666666666
2019-01-03 02 A,2019-01-03,02,0,2019,1,1,3,3,2018-11-28,2018,11,28,-6.75461313043552,1018.0422755940757,49.89333333333334
2019-01-03 03 A,2019-01-03,03,0,2019,1,1,3,3,2018-11-28,2018,11,28,-6.740811906987751,1018.1179366048177,51.13999999999999
2019-01-03 04 A,2019-01-03,04,0,2019,1,1,3,3,2018-11-28,2018,11,28,-6.863016651325878,1017.7924682617187,51.5
2019-01-03 05 A,2019-01-03,05,0,2019,1,1,3,3,2018-11-28,2018,11,28,-7.145924184856206,1017.7909936523438,52.419999999999995
2019-01-03 06 A,2019-01-03,06,0,2019,1,1,3,3,2018-11-28,2018,11,28,-7.539109643798625,1017.9363283284505,52.96666666666667
2019-01-03 07 A,2019-01-03,07,0,2019,1,1,3,3,2018-11-28,2018,11,28,-7.422156898395822,1017.9603299967448,53.29666666666666
2019-01-03 08 A,2019-01-03,08,0,2019,1,1,3,3,2018-11-28,2018,11,28,-7.47539130445493,1018.0976635742187,53.56333333333333
2019-01-03 09 A,2019-01-03,09,0,2019,1,1,3,3,2018-11-28,2018,11,28,-6.8408134260047655,1018.8614145914713,51.156666666666666
2019-01-03 10 A,2019-01-03,10,0,2019,1,1,3,3,2018-11-28,2018,11,28,-5.597136903220996,1017.4273394775391,48.03
2019-01-03 11 A,2019-01-03,11,0,2019,1,1,3,3,2018-11-28,2018,11,28,-4.002480537165072,1015.5860188802084,44.923333333333325
2019-01-03 12 A,2019-01-03,12,0,2019,1,1,3,3,2018-11-28,2018,11,28,-2.823988868084912,1014.5223317464192,37.31333333333333
2019-01-03 13 A,2019-01-03,13,0,2019,1,1,3,3,2018-11-28,2018,11,28,-1.8623263465916182,1014.6391841880721,38.84
2019-01-03 14 A,2019-01-03,14,0,2019,1,1,3,3,2018-11-28,2018,11,28,-1.2846084120318362,1014.2189969889323,32.416666666666664
2019-01-03 15 A,2019-01-03,15,0,2019,1,1,3,3,2018-11-28,2018,11,28,-1.1613059583428669,1014.0366642252606,37.666666666666664
2019-01-03 16 A,2019-01-03,16,0,2019,1,1,3,3,2018-11-28,2018,11,28,-1.2000675859435586,1013.8616678873699,37.61333333333334
2019-01-03 17 A,2019-01-03,17,0,2019,1,1,3,3,2018-11-28,2018,11,28,-1.822044345115632,1014.0923360188802,36.24333333333333
2019-01-03 18 A,2019-01-03,18,0,2019,1,1,3,3,2018-11-28,2018,11,28,-2.860819355815005,1013.6623293478447,41.67333333333334
2019-01-03 19 A,2019-01-03,19,0,2019,1,1,3,3,2018-11-28,2018,11,28,-3.50937428916149,1013.734994078519,48.99666666666667
2019-01-03 20 A,2019-01-03,20,0,2019,1,1,3,3,2018-11-28,2018,11,28,-3.9846050716589794,1013.7233298532586,50.63
2019-01-03 21 A,2019-01-03,21,0,2019,1,1,3,3,2018-11-28,2018,11,28,-4.433134950741336,1013.5929920504386,51.43000000000001
2019-01-03 22 A,2019-01-03,22,0,2019,1,1,3,3,2018-11-28,2018,11,28,-4.812398416280563,1013.451323991742,54.423333333333325
2019-01-03 23 A,2019-01-03,23,0,2019,1,1,3,3,2018-11-28,2018,11,28,-5.1034490159063735,1013.2189811197917,57.98333333333333
2019-01-03 24 A,2019-01-03,24,0,2019,1,1,3,3,2018-11-28,2018,11,28,-5.334706634293184,1013.2416430664063,59.28
2019-01-04 01 A,2019-01-04,01,0,2019,1,1,4,4,2018-11-29,2018,11,29,-6.144609582584136,1012.640674235026,62.93
2019-01-04 02 A,2019-01-04,02,0,2019,1,1,4,4,2018-11-29,2018,11,29,-6.222511069578419,1012.6790071614582,64.38333333333333
2019-01-04 03 A,2019-01-04,03,0,2019,1,1,4,4,2018-11-29,2018,11,29,-6.712297429709945,1012.6236669921876,65.13
2019-01-04 04 A,2019-01-04,04,0,2019,1,1,4,4,2018-11-29,2018,11,29,-7.034797711913193,1012.8440159098308,64.22
2019-01-04 05 A,2019-01-04,05,0,2019,1,1,4,4,2018-11-29,2018,11,29,-7.180034376414614,1013.1630131022135,60.43666666666667
2019-01-04 06 A,2019-01-04,06,0,2019,1,1,4,4,2018-11-29,2018,11,29,-7.331305940809247,1013.3373417154949,60.56333333333333
2019-01-04 07 A,2019-01-04,07,0,2019,1,1,4,4,2018-11-29,2018,11,29,-7.377513421462581,1013.4380084228516,60.48666666666666
2019-01-04 08 A,2019-01-04,08,0,2019,1,1,4,4,2018-11-29,2018,11,29,-7.304060354655909,1013.38801167806,61.75333333333333
2019-01-04 09 A,2019-01-04,09,0,2019,1,1,4,4,2018-11-29,2018,11,29,-6.554134846955091,1013.9023264567057,56.73
2019-01-04 10 A,2019-01-04,10,0,2019,1,1,4,4,2018-11-29,2018,11,29,-5.499645892077498,1014.663662109375,54.21333333333333
2019-01-04 11 A,2019-01-04,11,0,2019,1,1,4,4,2018-11-29,2018,11,29,-3.6545829922743156,1014.4383312988281,49.873333333333335
2019-01-04 12 A,2019-01-04,12,0,2019,1,1,4,4,2018-11-29,2018,11,29,-2.5184111432808254,1013.5096520996094,36.67333333333334
2019-01-04 13 A,2019-01-04,13,0,2019,1,1,4,4,2018-11-29,2018,11,29,-1.2501357732644627,1013.02165629069,30.823333333333334
2019-01-04 14 A,2019-01-04,14,0,2019,1,1,4,4,2018-11-29,2018,11,29,-0.635559027560065,1012.8546706136067,30.356666666666666
2019-01-04 15 A,2019-01-04,15,0,2019,1,1,4,4,2018-11-29,2018,11,29,-0.5005174392816356,1012.9533378092448,30.679999999999996
2019-01-04 16 A,2019-01-04,16,0,2019,1,1,4,4,2018-11-29,2018,11,29,-0.5580231198148958,1012.530327351888,30.47
2019-01-04 17 A,2019-01-04,17,0,2019,1,1,4,4,2018-11-29,2018,11,29,-1.3955355556390006,1012.304014078776,38.99333333333334
2019-01-04 18 A,2019-01-04,18,0,2019,1,1,4,4,2018-11-29,2018,11,29,-2.0495164620204585,1012.6673409016927,51.39666666666667
2019-01-04 19 A,2019-01-04,19,0,2019,1,1,4,4,2018-11-29,2018,11,29,-2.661493901728018,1013.0920157877605,54.419999999999995
2019-01-04 20 A,2019-01-04,20,0,2019,1,1,4,4,2018-11-29,2018,11,29,-3.0967281254948946,1013.1806699625653,57.78333333333333
2019-01-04 21 A,2019-01-04,21,0,2019,1,1,4,4,2018-11-29,2018,11,29,-3.5450604580275993,1013.3463315836589,61.00333333333333
2019-01-04 22 A,2019-01-04,22,0,2019,1,1,4,4,2018-11-29,2018,11,29,-4.053406820481823,1013.974330851237,62.626666666666665
2019-01-04 23 A,2019-01-04,23,0,2019,1,1,4,4,2018-11-29,2018,11,29,-4.197106412148441,1014.3929954020183,63.15
2019-01-04 24 A,2019-01-04,24,0,2019,1,1,4,4,2018-11-29,2018,11,29,-4.475313154248899,1014.537001546224,63.660000000000004
2019-01-05 01 A,2019-01-05,01,0,2019,1,1,5,5,2018-11-30,2018,11,30,-4.283350815295087,1013.8680049641927,61.879999999999995
2019-01-05 02 A,2019-01-05,02,0,2019,1,1,5,5,2018-11-30,2018,11,30,-4.7054663958891005,1013.6713444010417,61.79
2019-01-05 03 A,2019-01-05,03,0,2019,1,1,5,5,2018-11-30,2018,11,30,-4.76750920270793,1013.6876717122395,60.50333333333333
2019-01-05 04 A,2019-01-05,04,0,2019,1,1,5,5,2018-11-30,2018,11,30,-4.9340588959608676,1013.7420145670573,62.443333333333335
2019-01-05 05 A,2019-01-05,05,0,2019,1,1,5,5,2018-11-30,2018,11,30,-5.21595013271332,1013.9046813964843,63.696666666666665
2019-01-05 06 A,2019-01-05,06,0,2019,1,1,5,5,2018-11-30,2018,11,30,-5.382477858603313,1014.015668741862,62.78666666666667
2019-01-05 07 A,2019-01-05,07,0,2019,1,1,5,5,2018-11-30,2018,11,30,-5.6592368575793115,1014.3990242513022,64.90666666666667
2019-01-05 08 A,2019-01-05,08,0,2019,1,1,5,5,2018-11-30,2018,11,30,-5.6655512362586995,1014.6166874186198,62.326666666666675
2019-01-05 09 A,2019-01-05,09,0,2019,1,1,5,5,2018-11-30,2018,11,30,-5.410454927685415,1015.0139786783853,55.553333333333335
2019-01-05 10 A,2019-01-05,10,0,2019,1,1,5,5,2018-11-30,2018,11,30,-3.6910119628473215,1016.8533209228516,56.70666666666667
2019-01-05 11 A,2019-01-05,11,0,2019,1,1,5,5,2018-11-30,2018,11,30,-2.0988561523312987,1016.2426733398437,46.54
2019-01-05 12 A,2019-01-05,12,0,2019,1,1,5,5,2018-11-30,2018,11,30,-1.156351086281286,1015.7373402913412,40.343333333333334
2019-01-05 13 A,2019-01-05,13,0,2019,1,1,5,5,2018-11-30,2018,11,30,-0.16663034877433094,1014.6653135172527,35.17666666666667
2019-01-05 14 A,2019-01-05,14,0,2019,1,1,5,5,2018-11-30,2018,11,30,0.01232616940401221,1014.4683172607421,39.446666666666665
2019-01-05 15 A,2019-01-05,15,0,2019,1,1,5,5,2018-11-30,2018,11,30,0.08316376730510906,1013.8746704101562,49.1
2019-01-05 16 A,2019-01-05,16,0,2019,1,1,5,5,2018-11-30,2018,11,30,-0.029885338346128904,1013.8313448079426,49.82
2019-01-05 17 A,2019-01-05,17,0,2019,1,1,5,5,2018-11-30,2018,11,30,-0.8008042685316464,1014.2846826171875,42.35
2019-01-05 18 A,2019-01-05,18,0,2019,1,1,5,5,2018-11-30,2018,11,30,-1.6654627842272554,1014.7173394775391,48.53666666666667
2019-01-05 19 A,2019-01-05,19,0,2019,1,1,5,5,2018-11-30,2018,11,30,-2.2230324697488073,1014.7010186767578,44.25
2019-01-05 20 A,2019-01-05,20,0,2019,1,1,5,5,2018-11-30,2018,11,30,-2.547503846375633,1015.060351969401,54.276666666666664
2019-01-05 21 A,2019-01-05,21,0,2019,1,1,5,5,2018-11-30,2018,11,30,-2.8976828133031503,1016.0793341064453,56.72
2019-01-05 22 A,2019-01-05,22,0,2019,1,1,5,5,2018-11-30,2018,11,30,-2.4906949457530287,1014.8900197347006,57.1
2019-01-05 23 A,2019-01-05,23,0,2019,1,1,5,5,2018-11-30,2018,11,30,-2.6349491903200697,1015.8520007324219,55.376666666666665
2019-01-05 24 A,2019-01-05,24,0,2019,1,1,5,5,2018-11-30,2018,11,30,-2.6616572264112466,1015.8689449734158,54.75
2019-01-06 01 A,2019-01-06,01,0,2019,1,1,6,6,2018-12-01,2018,12,1,-0.4498269070824255,1014.3470019531251,63.6
2019-01-06 02 A,2019-01-06,02,0,2019,1,1,6,6,2018-12-01,2018,12,1,-0.748517932432307,1014.9350828091491,68.06666666666666
2019-01-06 03 A,2019-01-06,03,0,2019,1,1,6,6,2018-12-01,2018,12,1,-0.9836292760697868,1015.6823164876301,68.33
2019-01-06 04 A,2019-01-06,04,0,2019,1,1,6,6,2018-12-01,2018,12,1,-1.2482455944619206,1016.1119838460286,77.36
2019-01-06 05 A,2019-01-06,05,0,2019,1,1,6,6,2018-12-01,2018,12,1,-1.3767209644792604,1016.1479846191406,78.09
2019-01-06 06 A,2019-01-06,06,0,2019,1,1,6,6,2018-12-01,2018,12,1,-1.6634908003564315,1015.8153163655599,78.78999999999999
2019-01-06 07 A,2019-01-06,07,0,2019,1,1,6,6,2018-12-01,2018,12,1,-1.7461898076966713,1015.8896506754558,78.83333333333333
2019-01-06 08 A,2019-01-06,08,0,2019,1,1,6,6,2018-12-01,2018,12,1,-1.7168342269225632,1015.9069856770834,78.63333333333333
2019-01-06 09 A,2019-01-06,09,0,2019,1,1,6,6,2018-12-01,2018,12,1,-1.2020673756718914,1016.3319907633464,74.43666666666667
2019-01-06 10 A,2019-01-06,10,0,2019,1,1,6,6,2018-12-01,2018,12,1,-0.14173777489213413,1016.4526643880208,62.846666666666664
2019-01-06 11 A,2019-01-06,11,0,2019,1,1,6,6,2018-12-01,2018,12,1,1.3539865419774693,1016.2859830729167,41.18333333333334
2019-01-06 12 A,2019-01-06,12,0,2019,1,1,6,6,2018-12-01,2018,12,1,2.441977653490982,1015.974024251302,26.903333333333336
2019-01-06 13 A,2019-01-06,13,0,2019,1,1,6,6,2018-12-01,2018,12,1,3.224685403818533,1014.8856524658204,24.58666666666667
2019-01-06 14 A,2019-01-06,14,0,2019,1,1,6,6,2018-12-01,2018,12,1,3.666541953566296,1014.912983601888,25.063333333333333
2019-01-06 15 A,2019-01-06,15,0,2019,1,1,6,6,2018-12-01,2018,12,1,3.7737283279706744,1014.8863271077474,24.633333333333336
2019-01-06 16 A,2019-01-06,16,0,2019,1,1,6,6,2018-12-01,2018,12,1,3.6781968803344243,1014.8616611735027,25.060000000000002
2019-01-06 17 A,2019-01-06,17,0,2019,1,1,6,6,2018-12-01,2018,12,1,2.8259132587348503,1014.9016900634765,27.213333333333335
2019-01-06 18 A,2019-01-06,18,0,2019,1,1,6,6,2018-12-01,2018,12,1,2.127931026195482,1015.2536893717448,40.56666666666666
2019-01-06 19 A,2019-01-06,19,0,2019,1,1,6,6,2018-12-01,2018,12,1,1.406208124625348,1015.8573392740885,34.48
2019-01-06 20 A,2019-01-06,20,0,2019,1,1,6,6,2018-12-01,2018,12,1,0.8769378743627322,1016.0093377685547,42.76666666666667
2019-01-06 21 A,2019-01-06,21,0,2019,1,1,6,6,2018-12-01,2018,12,1,0.21451269025275307,1016.1396673583985,45.03333333333333
2019-01-06 22 A,2019-01-06,22,0,2019,1,1,6,6,2018-12-01,2018,12,1,-0.11733945444776343,1016.2606658935547,44.48
2019-01-06 23 A,2019-01-06,23,0,2019,1,1,6,6,2018-12-01,2018,12,1,-0.622053878146631,1016.4286649576821,47.35333333333333
2019-01-06 24 A,2019-01-06,24,0,2019,1,1,6,6,2018-12-01,2018,12,1,-0.5112394179215157,1015.9933319600423,49.49
2019-01-07 01 A,2019-01-07,01,0,2019,1,1,7,0,2018-12-02,2018,12,2,-3.554326438730717,1017.4130238850912,31.049999999999997
2019-01-07 02 A,2019-01-07,02,0,2019,1,1,7,0,2018-12-02,2018,12,2,-3.899107656411479,1017.3456905110678,41.14666666666667
2019-01-07 03 A,2019-01-07,03,0,2019,1,1,7,0,2018-12-02,2018,12,2,-4.176230786021805,1016.9249951171874,53.31666666666666
2019-01-07 04 A,2019-01-07,04,0,2019,1,1,7,0,2018-12-02,2018,12,2,-4.348620797508929,1016.7763405354818,49.76
2019-01-07 05 A,2019-01-07,05,0,2019,1,1,7,0,2018-12-02,2018,12,2,-4.583606802827255,1016.8556669108071,49.13666666666666
2019-01-07 06 A,2019-01-07,06,0,2019,1,1,7,0,2018-12-02,2018,12,2,-4.698729233097605,1016.6543334960937,50.29333333333333
2019-01-07 07 A,2019-01-07,07,0,2019,1,1,7,0,2018-12-02,2018,12,2,-4.781691911889379,1016.7486657714844,51.5
2019-01-07 08 A,2019-01-07,08,0,2019,1,1,7,0,2018-12-02,2018,12,2,-4.753855315844473,1016.8993336995442,53.666666666666664
2019-01-07 09 A,2019-01-07,09,0,2019,1,1,7,0,2018-12-02,2018,12,2,-4.83084373503286,1017.3023470052084,53.07
2019-01-07 10 A,2019-01-07,10,0,2019,1,1,7,0,2018-12-02,2018,12,2,-3.436336956155332,1017.4913460286458,53.24666666666667
2019-01-07 11 A,2019-01-07,11,0,2019,1,1,7,0,2018-12-02,2018,12,2,-1.8966625359766762,1015.723002726237,59.593333333333334
2019-01-07 12 A,2019-01-07,12,0,2019,1,1,7,0,2018-12-02,2018,12,2,-0.7376420719084184,1014.1536808268229,34.86666666666667
2019-01-07 13 A,2019-01-07,13,0,2019,1,1,7,0,2018-12-02,2018,12,2,0.0013982407570724369,1014.672012532552,29.840000000000003
2019-01-07 14 A,2019-01-07,14,0,2019,1,1,7,0,2018-12-02,2018,12,2,1.2460969339230203,1013.6720100911458,43.78
2019-01-07 15 A,2019-01-07,15,0,2019,1,1,7,0,2018-12-02,2018,12,2,1.4198953871105644,1013.5589817301433,45.169999999999995
2019-01-07 16 A,2019-01-07,16,0,2019,1,1,7,0,2018-12-02,2018,12,2,1.3066088370987112,1013.3469903564452,46.06
2019-01-07 17 A,2019-01-07,17,0,2019,1,1,7,0,2018-12-02,2018,12,2,0.6533751325309164,1014.2566577148436,33.31333333333333
2019-01-07 18 A,2019-01-07,18,0,2019,1,1,7,0,2018-12-02,2018,12,2,-0.052922222203575564,1013.7140173339844,68.81
2019-01-07 19 A,2019-01-07,19,0,2019,1,1,7,0,2018-12-02,2018,12,2,-0.7803840321712491,1013.1693461100261,61.02333333333333
2019-01-07 20 A,2019-01-07,20,0,2019,1,1,7,0,2018-12-02,2018,12,2,-1.4018046964240944,1014.107656656901,59.23333333333333
2019-01-07 21 A,2019-01-07,21,0,2019,1,1,7,0,2018-12-02,2018,12,2,-2.080456554611654,1014.2836637369792,58.339999999999996
2019-01-07 22 A,2019-01-07,22,0,2019,1,1,7,0,2018-12-02,2018,12,2,-2.5084929927412203,1014.0043318684897,58.66
2019-01-07 23 A,2019-01-07,23,0,2019,1,1,7,0,2018-12-02,2018,12,2,-3.039696384357983,1015.7349987792968,57.11000000000001
2019-01-07 24 A,2019-01-07,24,0,2019,1,1,7,0,2018-12-02,2018,12,2,-3.2462207655089816,1015.4836771647136,59.18666666666667
2019-01-08 01 A,2019-01-08,01,0,2019,1,1,8,1,2018-12-03,2018,12,3,-4.787014144907802,1012.6123337809245,66.42
2019-01-08 02 A,2019-01-08,02,0,2019,1,1,8,1,2018-12-03,2018,12,3,-5.181219118302757,1012.8066719563802,68.38000000000001
2019-01-08 03 A,2019-01-08,03,0,2019,1,1,8,1,2018-12-03,2018,12,3,-5.358522523736686,1012.862334798177,66.93333333333334
2019-01-08 04 A,2019-01-08,04,0,2019,1,1,8,1,2018-12-03,2018,12,3,-5.620155255018235,1015.032999267578,66.51
2019-01-08 05 A,2019-01-08,05,0,2019,1,1,8,1,2018-12-03,2018,12,3,-5.875901233351551,1015.1080010986328,61.11666666666667
2019-01-08 06 A,2019-01-08,06,0,2019,1,1,8,1,2018-12-03,2018,12,3,-6.064418432246238,1015.136669514974,62.22
2019-01-08 07 A,2019-01-08,07,0,2019,1,1,8,1,2018-12-03,2018,12,3,-6.158036198990996,1015.1753369140624,63.82333333333333
2019-01-08 08 A,2019-01-08,08,0,2019,1,1,8,1,2018-12-03,2018,12,3,-5.963859957711311,1015.2250036621093,63.879999999999995
2019-01-08 09 A,2019-01-08,09,0,2019,1,1,8,1,2018-12-03,2018,12,3,-5.510307682533781,1015.2223356119792,67.14999999999999
2019-01-08 10 A,2019-01-08,10,0,2019,1,1,8,1,2018-12-03,2018,12,3,-3.976239181391065,1013.1016605631511,37.49333333333333
2019-01-08 11 A,2019-01-08,11,0,2019,1,1,8,1,2018-12-03,2018,12,3,-1.858191895057658,1013.7533459472656,50.68
2019-01-08 12 A,2019-01-08,12,0,2019,1,1,8,1,2018-12-03,2018,12,3,-0.7459137406891468,1013.0086844889323,32.61666666666667
2019-01-08 13 A,2019-01-08,13,0,2019,1,1,8,1,2018-12-03,2018,12,3,0.013333969985687366,1012.5303452555339,29.419999999999998
2019-01-08 14 A,2019-01-08,14,0,2019,1,1,8,1,2018-12-03,2018,12,3,0.6320928454032956,1012.0933449300129,39.53666666666667
2019-01-08 15 A,2019-01-08,15,0,2019,1,1,8,1,2018-12-03,2018,12,3,0.8682212624530927,1011.7403188069661,26.53333333333333
2019-01-08 16 A,2019-01-08,16,0,2019,1,1,8,1,2018-12-03,2018,12,3,0.7204246135805626,1011.5863262939453,26.09
2019-01-08 17 A,2019-01-08,17,0,2019,1,1,8,1,2018-12-03,2018,12,3,-0.037385566797190815,1011.6413315836589,41.550000000000004
2019-01-08 18 A,2019-01-08,18,0,2019,1,1,8,1,2018-12-03,2018,12,3,-0.8455004093626569,1011.8930222574869,45.46333333333333
2019-01-08 19 A,2019-01-08,19,0,2019,1,1,8,1,2018-12-03,2018,12,3,-1.563600555363834,1013.2803487141928,58.419999999999995
2019-01-08 20 A,2019-01-08,20,0,2019,1,1,8,1,2018-12-03,2018,12,3,-2.2263924974983142,1012.8910056559245,59.95666666666667
2019-01-08 21 A,2019-01-08,21,0,2019,1,1,8,1,2018-12-03,2018,12,3,-2.8598311425546803,1011.9516776529948,51.21666666666667
2019-01-08 22 A,2019-01-08,22,0,2019,1,1,8,1,2018-12-03,2018,12,3,-3.2003533391477954,1012.1310074869792,51.446666666666665
2019-01-08 23 A,2019-01-08,23,0,2019,1,1,8,1,2018-12-03,2018,12,3,-3.680289434958856,1012.1823439534505,53.73666666666667
2019-01-08 24 A,2019-01-08,24,0,2019,1,1,8,1,2018-12-03,2018,12,3,-3.812216821281654,1012.1236765543621,53.89333333333334
